class,feature_name,raw_feature_name,feature_type,mean_abs_shap
ham,text stop,tfidf__text stop,tfidf,0.0019762101626841365
ham,receive 1000,tfidf__receive 1000,tfidf,0.001965073407107706
ham,chat,tfidf__chat,tfidf,0.0019482874450564998
ham,team,tfidf__team,tfidf,0.0019451350280442843
ham,entry,tfidf__entry,tfidf,0.0019348971549592697
ham,family,tfidf__family,tfidf,0.0019348554541887266
ham,offer,tfidf__offer,tfidf,0.0019301174093179394
ham,email emailtoken,tfidf__email emailtoken,tfidf,0.0019253452571874382
ham,guaranteed,tfidf__guaranteed,tfidf,0.0019154596965404792
ham,car,tfidf__car,tfidf,0.0019003375004121711
ham,customer service,tfidf__customer service,tfidf,0.0019001171937834717
ham,100 weekly,tfidf__100 weekly,tfidf,0.0018655319225268838
ham,claim ur,tfidf__claim ur,tfidf,0.001849127610505811
ham,search,tfidf__search,tfidf,0.001837427332144543
ham,office,tfidf__office,tfidf,0.0018369949106521908
ham,000 prize,tfidf__000 prize,tfidf,0.0018364574422929415
ham,ur mobile,tfidf__ur mobile,tfidf,0.001820395794153515
ham,mean,tfidf__mean,tfidf,0.0017762575017187874
ham,calls,tfidf__calls,tfidf,0.0017717624149767924
ham,check,tfidf__check,tfidf,0.0017612142829201796
ham,uk,tfidf__uk,tfidf,0.0017573461297171482
ham,2003,tfidf__2003,tfidf,0.0017556451558493479
ham,2003 account,tfidf__2003 account,tfidf,0.0017556451558493479
ham,private 2003,tfidf__private 2003,tfidf,0.0017556451558493479
ham,watching,tfidf__watching,tfidf,0.0017547538472341682
ham,lets,tfidf__lets,tfidf,0.001743820144642219
ham,000 cash,tfidf__000 cash,tfidf,0.001742666499086079
ham,horny,tfidf__horny,tfidf,0.0017410697867967803
ham,2000,tfidf__2000,tfidf,0.0017316319040860464
ham,wot,tfidf__wot,tfidf,0.0017279570010884108
ham,course,tfidf__course,tfidf,0.0017201011632463983
ham,called,tfidf__called,tfidf,0.0017162555400398257
ham,block,tfidf__block,tfidf,0.0017121357321993288
ham,filthy,tfidf__filthy,tfidf,0.0017071077192890517
ham,problem,tfidf__problem,tfidf,0.0016872515017361915
ham,tot,tfidf__tot,tfidf,0.0016866246917123847
ham,end,tfidf__end,tfidf,0.0016815707046534919
ham,offering,tfidf__offering,tfidf,0.0016800434102901484
ham,offering tones,tfidf__offering tones,tfidf,0.0016800434102901484
ham,pound offering,tfidf__pound offering,tfidf,0.0016800434102901484
ham,lot,tfidf__lot,tfidf,0.0016728288723299159
ham,replying,tfidf__replying,tfidf,0.0016578095292303571
ham,national,tfidf__national,tfidf,0.001657670026930647
ham,friendship,tfidf__friendship,tfidf,0.0016525222232289356
ham,collect,tfidf__collect,tfidf,0.001652082772953336
ham,information,tfidf__information,tfidf,0.0016326828808252225
ham,today text,tfidf__today text,tfidf,0.0016299310314959593
